DATA:           	LANG:   	MIN_C:  	MAX_F:  	   NIST:	   BLUE:	NAME:
presemt-dev     	no-en   	       1	0.000100	  4.0936	  0.0885	centroid_presemt-dev_no-en_min_count=1_max_freq=0.000100
presemt-dev     	no-en   	       1	0.001000	  4.1841	  0.0944	centroid_presemt-dev_no-en_min_count=1_max_freq=0.001000
presemt-dev     	no-en   	       1	0.005000	  4.2281	  0.0985	centroid_presemt-dev_no-en_min_count=1_max_freq=0.005000
presemt-dev     	no-en   	       1	0.010000	  4.2225	  0.0963	centroid_presemt-dev_no-en_min_count=1_max_freq=0.010000
presemt-dev     	no-en   	       1	0.050000	  4.2439	  0.0956	centroid_presemt-dev_no-en_min_count=1_max_freq=0.050000
presemt-dev     	no-en   	       1	0.100000	  4.2685	  0.0989	centroid_presemt-dev_no-en_min_count=1_max_freq=0.100000
presemt-dev     	no-en   	       1	0.250000	  4.2314	  0.0956	centroid_presemt-dev_no-en_min_count=1_max_freq=0.250000
presemt-dev     	no-en   	       1	0.500000	  4.2374	  0.0957	centroid_presemt-dev_no-en_min_count=1_max_freq=0.500000
presemt-dev     	no-en   	       1	1.000000	  4.2374	  0.0957	centroid_presemt-dev_no-en_min_count=1_max_freq=1.000000
presemt-dev     	no-en   	       5	0.000100	  4.4383	  0.1032	centroid_presemt-dev_no-en_min_count=5_max_freq=0.000100
presemt-dev     	no-en   	       5	0.001000	  4.1984	  0.0947	centroid_presemt-dev_no-en_min_count=5_max_freq=0.001000
presemt-dev     	no-en   	       5	0.005000	  4.2311	  0.0986	centroid_presemt-dev_no-en_min_count=5_max_freq=0.005000
presemt-dev     	no-en   	       5	0.010000	  4.2164	  0.0965	centroid_presemt-dev_no-en_min_count=5_max_freq=0.010000
presemt-dev     	no-en   	       5	0.050000	  4.2418	  0.0956	centroid_presemt-dev_no-en_min_count=5_max_freq=0.050000
presemt-dev     	no-en   	       5	0.100000	  4.2709	  0.0989	centroid_presemt-dev_no-en_min_count=5_max_freq=0.100000
presemt-dev     	no-en   	       5	0.250000	  4.2340	  0.0956	centroid_presemt-dev_no-en_min_count=5_max_freq=0.250000
presemt-dev     	no-en   	       5	0.500000	  4.2400	  0.0957	centroid_presemt-dev_no-en_min_count=5_max_freq=0.500000
presemt-dev     	no-en   	       5	1.000000	  4.2400	  0.0957	centroid_presemt-dev_no-en_min_count=5_max_freq=1.000000
presemt-dev     	no-en   	      10	0.000100	  4.4619	  0.1051	centroid_presemt-dev_no-en_min_count=10_max_freq=0.000100
presemt-dev     	no-en   	      10	0.001000	  4.1744	  0.0926	centroid_presemt-dev_no-en_min_count=10_max_freq=0.001000
presemt-dev     	no-en   	      10	0.005000	  4.2297	  0.0987	centroid_presemt-dev_no-en_min_count=10_max_freq=0.005000
presemt-dev     	no-en   	      10	0.010000	  4.2052	  0.0956	centroid_presemt-dev_no-en_min_count=10_max_freq=0.010000
presemt-dev     	no-en   	      10	0.050000	  4.2537	  0.0967	centroid_presemt-dev_no-en_min_count=10_max_freq=0.050000
presemt-dev     	no-en   	      10	0.100000	  4.2701	  0.0989	centroid_presemt-dev_no-en_min_count=10_max_freq=0.100000
presemt-dev     	no-en   	      10	0.250000	  4.2335	  0.0956	centroid_presemt-dev_no-en_min_count=10_max_freq=0.250000
presemt-dev     	no-en   	      10	0.500000	  4.2395	  0.0957	centroid_presemt-dev_no-en_min_count=10_max_freq=0.500000
presemt-dev     	no-en   	      10	1.000000	  4.2395	  0.0957	centroid_presemt-dev_no-en_min_count=10_max_freq=1.000000
presemt-dev     	no-en   	      25	0.000100	  4.4619	  0.1051	centroid_presemt-dev_no-en_min_count=25_max_freq=0.000100
presemt-dev     	no-en   	      25	0.001000	  4.2841	  0.0944	centroid_presemt-dev_no-en_min_count=25_max_freq=0.001000
presemt-dev     	no-en   	      25	0.005000	  4.2088	  0.0948	centroid_presemt-dev_no-en_min_count=25_max_freq=0.005000
presemt-dev     	no-en   	      25	0.010000	  4.1929	  0.0939	centroid_presemt-dev_no-en_min_count=25_max_freq=0.010000
presemt-dev     	no-en   	      25	0.050000	  4.2416	  0.0964	centroid_presemt-dev_no-en_min_count=25_max_freq=0.050000
presemt-dev     	no-en   	      25	0.100000	  4.2644	  0.0988	centroid_presemt-dev_no-en_min_count=25_max_freq=0.100000
presemt-dev     	no-en   	      25	0.250000	  4.2386	  0.0956	centroid_presemt-dev_no-en_min_count=25_max_freq=0.250000
presemt-dev     	no-en   	      25	0.500000	  4.2446	  0.0957	centroid_presemt-dev_no-en_min_count=25_max_freq=0.500000
presemt-dev     	no-en   	      25	1.000000	  4.2446	  0.0957	centroid_presemt-dev_no-en_min_count=25_max_freq=1.000000
presemt-dev     	no-en   	      50	0.000100	  4.4619	  0.1051	centroid_presemt-dev_no-en_min_count=50_max_freq=0.000100
presemt-dev     	no-en   	      50	0.001000	  4.4388	  0.1033	centroid_presemt-dev_no-en_min_count=50_max_freq=0.001000
presemt-dev     	no-en   	      50	0.005000	  4.1751	  0.0921	centroid_presemt-dev_no-en_min_count=50_max_freq=0.005000
presemt-dev     	no-en   	      50	0.010000	  4.1905	  0.0923	centroid_presemt-dev_no-en_min_count=50_max_freq=0.010000
